Frame No|	Baseline Result|	Final Result|	%Deviation
1|	51.243|	51.6929|	0.8779735769
2|	51.2113|	51.6691|	0.8939433289
3|	51.2175|	51.6825|	0.9078928101
4|	51.2139|	51.6739|	0.8981936545
5|	51.1682|	51.6228|	0.888442431
6|	51.0681|	51.5167|	0.8784348742
7|	51.0596|	51.5131|	0.8881777374
8|	51.0672|	51.4704|	0.7895478898
9|	50.6203|	51.0134|	0.7765659232
10|	50.5531|	50.9191|	0.7239912092
11|	50.5871|	50.9378|	0.6932597441
12|	50.6085|	50.9409|	0.6568066629
13|	50.5578|	50.9012|	0.6792225928
14|	50.5492|	50.885|	0.6643032926
15|	50.5087|	50.8348|	0.6456313467
16|	50.5064|	50.8331|	0.6468487162
17|	50.6054|	51.0475|	0.8736221826
18|	50.5384|	50.9268|	0.7685245279
19|	50.4832|	50.9262|	0.8775196501
20|	50.4981|	50.9108|	0.8172584711
21|	50.5091|	50.9178|	0.8091611215
22|	50.542|	50.9213|	0.7504649598
23|	50.5555|	50.953|	0.7862646003
24|	50.5718|	50.9493|	0.7464634441
25|	50.643|	51.0135|	0.7315917303
26|	50.5527|	50.9095|	0.7057981077
27|	50.5081|	50.8782|	0.7327537563
28|	50.5095|	50.8837|	0.7408507311
29|	50.4668|	50.855|	0.7692185754
30|	50.4503|	50.844|	0.78037197
31|	50.4852|	50.8811|	0.7841902181
32|	50.478|	50.8829|	0.8021316217

